"Company 
(Maker-if known)",SpecificBeanOriginorBarName,REF,"Review
Date",CocoaPercent,CompanyLocation,Rating,"Bean
Type",BroadBeanOrigin,Secondary Origin,,,
Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,55%,U.S.A.,2.75,Blend,Hawaii,,,,
Manoa,"Waiahole, O'ahu",1089,2013,72%,U.S.A.,3.75, ,Hawaii,,,,
Manoa,"Hamakua, Hawaiian Crown, #176",1007,2012,72%,U.S.A.,2.75, ,Hawaii,,,,
Manoa,"Oahu, Winward, #151, Maunawili district",1007,2012,72%,U.S.A.,3.25, ,Hawaii,,,,
Nanea,Criollo Blend,1007,2013,85%,U.S.A.,3.5, ,Hawaii,,,,
Original Hawaiin Chocolate Factory,"Hawai'i, Kona Grand Cru E.",316,2009,60%,U.S.A.,3,Criollo,Hawaii,,,,
Original Hawaiin Chocolate Factory,"Hawai'i, Kona Estate Grown",24,2006,60%,U.S.A.,3, ,Hawaii,,,,
Shark's,Hilo,713,2011,73%,U.S.A.,2, ,Hawaii,,,,
Shark's,"Hilo, w/ added cocoa butter",721,2011,73%,U.S.A.,2.5, ,Hawaii,,,,
Somerville,"Hawaiian, Big Island",1395,2014,70%,U.S.A.,3.5, ,Hawaii,,,,
Friis Holm (Bonnat),"Red Mayan, Xoco",899,2012,70%,Denmark,3.25,"Criollo, Trinitario",Honduras,,,,
Mesocacao,Honduras,1347,2014,80%,Honduras,3.25, ,Honduras,,,,
Mesocacao,Honduras,1347,2014,70%,Honduras,3.5, ,Honduras,,,,
Duffy's,"Indio Rojo, Xoco",623,2011,72%,U.K.,3.75,Criollo,Honduras,,,,
Pump Street Bakery,Honduras,1688,2015,80%,U.K.,2.75, ,Honduras,,,,
Arete,"La Masica, FHIA",1908,2016,70%,U.S.A.,3.5, ,Honduras,,,,
Askinosie,Cortes,661,2011,70%,U.S.A.,3.75,Trinitario,Honduras,,,,
Cacao Market,"Jutiapa, lot 050916D",1860,2016,70%,U.S.A.,3.5,Trinitario,Honduras,,,,
Castronovo,"the lost city, gracias a dias, batch 362",1570,2015,72%,U.S.A.,3.5,Trinitario,Honduras,,,,
ENNA,"Wampusirpi, batch 007",1916,2016,75%,U.S.A.,3.25, ,Honduras,,,,
Indi,Honduras,1255,2014,77%,U.S.A.,3, ,Honduras,,,,
Letterpress,"La Masica, Batch 7, FHIA",1952,2017,70%,U.S.A.,3.5, ,Honduras,,,,
Map Chocolate,Le Chocolat Chaud,1634,2015,78%,U.S.A.,3.5, ,Honduras,,,,
Pinellas,Wampusirpi Region,1772,2016,80%,U.S.A.,2.5, ,Honduras,,,,
Rogue,"La Masica, Batch 1, FHIA Research Center",1748,2016,75%,U.S.A.,3.75, ,Honduras,,,,
Zotter,Kerala State,749,2011,65%,Austria,3.5,Forastero,India,,,,
Zotter,Kerala State,781,2011,62%,Austria,3.25, ,India,,,,
Indah,India (south),1788,2016,61%,India,2.5, ,India,,,,
Stella (aka Bernrain),India,729,2011,72%,Switzerland,3.25, ,India,,,,
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72%,Belgium,4,Trinitario,Indonesia,,,,
Pierre Marcolini,"Kendem Lembu, Java",93,2006,72%,Belgium,3,Criollo,Indonesia,,,,
Soma,Java,1030,2013,70%,Canada,3.25,Criollo,Indonesia,,,,
Pralus,"Java, Indonesie",32,2006,75%,France,3.5,Criollo,Indonesia,,,,
Domori,"Java, Javablond",192,2007,70%,Italy,3.75,Criollo,Indonesia,,,,
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75%,Switzerland,3.75,Trinitario,Indonesia,,,,
Beschle (Felchlin),"Java, Grand Cru",508,2010,64%,Switzerland,3.5, ,Indonesia,,,,
Artisan du Chocolat,Bali,600,2010,72%,U.K.,3.5, ,Indonesia,,,,
Artisan du Chocolat,Java,355,2009,72%,U.K.,2.75,Trinitario,Indonesia,,,,
Willie's Cacao,"Java, Indonesian Black",1109,2013,100%,U.K.,2.25, ,Indonesia,,,,
Willie's Cacao,Java,593,2010,69%,U.K.,3.75, ,Indonesia,,,,
Amano,"Bali, Jembrana",304,2008,70%,U.S.A.,2.75, ,Indonesia,,,,
Bittersweet Origins,"Bali, Singaraja",478,2010,75%,U.S.A.,3.25, ,Indonesia,,,,
Bittersweet Origins,"Bali, Singaraja",558,2010,65%,U.S.A.,2.75, ,Indonesia,,,,
Middlebury,"Balinese, Java",887,2012,70%,U.S.A.,2.5,Criollo,Indonesia,,,,
Molucca,Indonesia,1618,2015,70%,U.S.A.,2.75, ,Indonesia,,,,
Pralus,"Djakarta, Java and Ghana",99,2006,75%,France,3.5,"Criollo, Forastero",Indonesia, Ghana,,,
Bonnat,Ivory Coast,331,2009,75%,France,3, ,Ivory Coast,,,,
Laia aka Chat-Noir,"Ivory Coast, Batch 56/100",1594,2015,75%,France,3, ,Ivory Coast,,,,
Holy Cacao,Ivory Coast,431,2009,70%,Israel,2.5, ,Ivory Coast,,,,
Mars,Ivory Coast,544,2010,65%,U.S.A.,3, ,Ivory Coast,,,,
Theo,Ivory Coast,184,2007,75%,U.S.A.,2.5, ,Ivory Coast,,,,
Soma,"Bachelor's Hall E., St. Thomas Parish",1177,2013,70%,Canada,4,Trinitario,Jamaica,,,,
Bonnat,Jamaique,761,2011,75%,France,3.25,Trinitario,Jamaica,,,,
Pralus,Jamaique,32,2006,75%,France,4,Trinitario,Jamaica,,,,
Coppeneur,Jamaica,558,2010,72%,Germany,3.25,Trinitario,Jamaica,,,,
Amedei,Jamaica,123,2007,70%,Italy,3,Trinitario,Jamaica,,,,
Feitoria Cacao,Blue Mountain,1732,2016,76%,Portugal,3, ,Jamaica,,,,
Artisan du Chocolat,Jamaica,531,2010,72%,U.K.,3.75,Trinitario,Jamaica,,,,
Black River (A. Morin),Blue Mountain Region,1331,2014,70%,U.K.,2.75,Trinitario,Jamaica,,,,
Breeze Mill,Jamaica,1149,2013,70%,U.S.A.,3,Trinitario,Jamaica,,,,
Fresco,"Jamaica, #209, DR, SC",642,2011,70%,U.S.A.,3.25,Trinitario,Jamaica,,,,
Fresco,"Jamaica, #210, DR, MC",642,2011,70%,U.S.A.,3.5,Trinitario,Jamaica,,,,
Fresco,"Jamaica, #204, DR, SC",370,2009,80%,U.S.A.,2.75,Trinitario,Jamaica,,,,
Fresco,"Jamaica, #206, DR, LC",370,2009,70%,U.S.A.,3,Trinitario,Jamaica,,,,
Fresco,"Jamaica, #205, DR, MC",370,2009,70%,U.S.A.,3.25,Trinitario,Jamaica,,,,
Guittard,Jamaica,1053,2013,65%,U.S.A.,3.25,Trinitario,Jamaica,,,,
Oakland Chocolate Co.,Jamaica,478,2010,70%,U.S.A.,2.5,Trinitario,Jamaica,,,,
Rogue,"Bachelor's Hall E., St. Thomas Parish",1193,2013,75%,U.S.A.,3.75,Trinitario,Jamaica,,,,
Rogue,Jamaica,213,2008,70%,U.S.A.,2.75,Trinitario,Jamaica,,,,
Scharffen Berger,Jamaica a l'ancienne,56,2006,70%,U.S.A.,2,Trinitario,Jamaica,,,,
Shark Mountain,Jamaica,1450,2015,72%,U.S.A.,3.25,Trinitario,Jamaica,,,,
Dandelion,Buto,1303,2014,70%,U.S.A.,2.75, ,Liberia,,,,
Letterpress,Liberia,1728,2016,70%,U.S.A.,3.25, ,Liberia,,,,
Manoa,"Liberia, #174",1003,2012,72%,U.S.A.,3.25, ,Liberia,,,,
Soma,Eastern Promises,967,2012,70%,Canada,3.5,Blend,Mad., Java, PNG,,
Bahen & Co.,Sambirano,995,2012,70%,Australia,3,Trinitario,Madagascar,,,,
Bright,Somia Plantation,1231,2014,72%,Australia,3,Trinitario,Madagascar,,,,
Matale,"Somia, 2013",1177,2013,68%,Australia,4,Trinitario,Madagascar,,,,
"Smooth Chocolator, The",Akesson's Estate,1618,2015,65%,Australia,3.25,Trinitario,Madagascar,,,,
"Smooth Chocolator, The",Akesson's Estate,1622,2015,70%,Australia,3.5,Trinitario,Madagascar,,,,
Spencer,"Madagascar, lot M0403R",1792,2016,70%,Australia,3.75, ,Madagascar,,,,
Zart Pralinen,"Millot P., Ambanja",1820,2016,70%,Austria,3.5,"Criollo, Trinitario",Madagascar,,,,
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72%,Belgium,3.75,Trinitario,Madagascar,,,,
Frederic Blondeel,Madagascar,1351,2014,65%,Belgium,3.5,Trinitario,Madagascar,,,,
Pierre Marcolini,"Sambirano, Ambanja, Madagascar",141,2007,72%,Belgium,4,Trinitario,Madagascar,,,,
Ambrosia,Madagascar,1494,2015,66%,Canada,3.25,Trinitario,Madagascar,,,,
East Van Roasters,Madagascar,1343,2014,70%,Canada,3.5,Trinitario,Madagascar,,,,
Palette de Bine,Sambirano,1239,2014,78%,Canada,3.75,Trinitario,Madagascar,,,,
Sirene,"Somia Plantation, 2012",1502,2015,100%,Canada,3,Trinitario,Madagascar,,,,
Sirene,"Somia Plantation, 2012",1339,2014,67%,Canada,3.75,Trinitario,Madagascar,,,,
Sirene,"Somia Plantation, 2012",1339,2014,73%,Canada,3.75,Trinitario,Madagascar,,,,
Soma,"Sambirano Valley, Black Science, B-60307.0",1820,2016,70%,Canada,3.5,Trinitario,Madagascar,,,,
Soma,Madagascar,387,2009,70%,Canada,3.75,Criollo,Madagascar,,,,
Soul,Madagascar,1936,2017,70%,Canada,3.5, ,Madagascar,,,,
Jordis,Madagascar,1534,2015,63%,Czech Republic,2.75,Trinitario,Madagascar,,,,
Levy,Sambirano,1231,2014,71%,Finland,3.5,Criollo,Madagascar,,,,
Lilla,Madagascar,1856,2016,70%,Finland,3,Trinitario,Madagascar,,,,
A. Morin,Madagascar,1011,2013,70%,France,3,Criollo,Madagascar,,,,
Alain Ducasse,Madagascar,1215,2014,75%,France,3,Trinitario,Madagascar,,,,
Ara,Madagascar,1375,2014,75%,France,3,Trinitario,Madagascar,,,,
Bonnat,"Madagascar, 100% criollo",629,2011,75%,France,4,Criollo,Madagascar,,,,
Bonnat,Madagascar,75,2006,75%,France,4,Trinitario,Madagascar,,,,
Durand,Madagascar,841,2012,82%,France,2.75,Trinitario,Madagascar,,,,
Laia aka Chat-Noir,"Madagascar, Batch 59/100",1590,2015,75%,France,2.75,Trinitario,Madagascar,,,,
Michel Cluizel,Mangaro P.,24,2006,65%,France,4,Trinitario,Madagascar,,,,
Pralus,"Sambirano Valley, Le 100%",202,2008,100%,France,3,Criollo,Madagascar,,,,
Pralus,"Madagascar, Nosy Be Isle.",5,2006,75%,France,3.75,Criollo,Madagascar,,,,
Valrhona,Manjari,129,2007,64%,France,4,"Criollo, Trinitario",Madagascar,,,,
Valrhona,"Sambirano, Ampamakia 2005, Millot P.",75,2006,64%,France,3.5,Trinitario,Madagascar,,,,
Coppeneur,Madagascar,959,2012,70%,Germany,3.5,Trinitario,Madagascar,,,,
Coppeneur,"Sambirano, Menava P.",196,2007,72%,Germany,3,Trinitario,Madagascar,,,,
Georgia Ramon,Akesson P.,1642,2015,65%,Germany,3.25,Trinitario,Madagascar,,,,
Georgia Ramon,Akesson P.,1646,2015,75%,Germany,3.5,Trinitario,Madagascar,,,,
Danta,Sambirano,987,2012,70%,Guatemala,3.75,Trinitario,Madagascar,,,,
Rozsavolgyi,"Sambirano, Akesson Estate",871,2012,72%,Hungary,2.5,Trinitario,Madagascar,,,,
Szanto Tibor,Ambolikapiky,1704,2015,70%,Hungary,3.25,Trinitario,Madagascar,,,,
Szanto Tibor,"Autumn, Primary Harvest, 2012",1185,2013,70%,Hungary,3.5,Criollo,Madagascar,,,,
Szanto Tibor,"Spring, Secondary Harvest, 2012",1185,2013,70%,Hungary,3.5,Criollo,Madagascar,,,,
Szanto Tibor,Millot Plantation,939,2012,70%,Hungary,3.25, ,Madagascar,,,,
Omnom,Madagascar,1247,2014,66%,Iceland,3.5,Trinitario,Madagascar,,,,
Holy Cacao,Sambirano,1466,2015,70%,Israel,3.5,Trinitario,Madagascar,,,,
Amedei,Madagascar,123,2007,70%,Italy,4,Trinitario (85% Criollo),Madagascar,,,,
Domori,Madagascar,135,2007,70%,Italy,3.5,Trinitario,Madagascar,,,,
Domori,Madagared,192,2007,70%,Italy,3.5,Criollo,Madagascar,,,,
S.A.I.D.,Malgascio,607,2010,64%,Italy,3.5,Trinitario,Madagascar,,,,
Cacao Store,Madagascar,1684,2015,70%,Japan,3,Trinitario,Madagascar,,,,
Green Bean to Bar,Madagascar,1896,2016,70%,Japan,3.5, ,Madagascar,,,,
Madecasse (Cinagra),Madagascar,284,2008,67%,Madagascar,3.5,Trinitario,Madagascar,,,,
Madecasse (Cinagra),Madagascar,284,2008,70%,Madagascar,3.75,Trinitario,Madagascar,,,,
Madecasse (Cinagra),Madagascar,284,2008,63%,Madagascar,4,Trinitario,Madagascar,,,,
Madecasse (Cinagra),Madagascar,288,2008,75%,Madagascar,3.5,Trinitario,Madagascar,,,,
Malagasy (Chocolaterie Robert),Sambirano 2006,184,2007,75%,Madagascar,2.75,Trinitario,Madagascar,,,,
Malagasy (Chocolaterie Robert),Mora Mora 2006,184,2007,73%,Madagascar,3.5,Trinitario,Madagascar,,,,
Menakao (aka Cinagra),Madagascar,837,2012,80%,Madagascar,2.5,Trinitario,Madagascar,,,,
Menakao (aka Cinagra),Madagascar,841,2012,72%,Madagascar,2.5,Trinitario,Madagascar,,,,
Robert (aka Chocolaterie Robert),Madagascar,1061,2013,75%,Madagascar,3.25,Trinitario,Madagascar,,,,
Robert (aka Chocolaterie Robert),Madagascar w/ nibs,1061,2013,68%,Madagascar,3.25,Trinitario,Madagascar,,,,
Tsara (Cinagra),"Ambanja, Tsara Valley",753,2011,72%,Madagascar,3.5, ,Madagascar,,,,
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,72%,Madagascar,2.75,Trinitario,Madagascar,,,,
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,76%,Madagascar,2.75,Trinitario,Madagascar,,,,
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,80%,Madagascar,2.75,Trinitario,Madagascar,,,,
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,70%,Madagascar,3,Trinitario,Madagascar,,,,
Vao Vao (Chocolaterie Robert),Madagascar w/ nibs,404,2009,68%,Madagascar,3,Trinitario,Madagascar,,,,
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,64%,Madagascar,3.25,Trinitario,Madagascar,,,,
Hogarth,Akesson's Estate,1712,2016,70%,New Zealand,2.75,Trinitario,Madagascar,,,,
"Chocolate Tree, The",Madagascar,919,2012,72%,Scotland,3.25,Criollo,Madagascar,,,,
Fossa,"Akesson's E., Sambirano V.",1772,2016,70%,Singapore,2.75, ,Madagascar,,,,
De Villiers,"Sambirano Valley, batch 2477",1832,2016,70%,South Africa,3, ,Madagascar,,,,
Cacao Sampaka,Madagascar,508,2010,71%,Spain,3.5,Trinitario,Madagascar,,,,
Chocovic,Sambirano,478,2010,71%,Spain,3.5,Trinitario,Madagascar,,,,
Metiisto,Akesson Estate,1267,2014,72%,Sweden,3.5,Trinitario,Madagascar,,,,
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75%,Switzerland,2.75,Criollo,Madagascar,,,,
Beschle (Felchlin),Madagascar,636,2011,64%,Switzerland,3,Trinitario,Madagascar,,,,
Felchlin,"Madagascar, Grand Cru",48,2006,64%,Switzerland,3,Criollo,Madagascar,,,,
Artisan du Chocolat,Madagascar,363,2009,80%,U.K.,3,"Criollo, Trinitario",Madagascar,,,,
Dormouse,"Madagascar, Batch 8",1676,2015,77%,U.K.,2.75,"Criollo, Trinitario",Madagascar,,,,
Hotel Chocolat (Coppeneur),"Somia Plantation, Akesson, 2012",1065,2013,72%,U.K.,3,Trinitario,Madagascar,,,,
Hotel Chocolat (Coppeneur),Sambirano,809,2012,66%,U.K.,3.5,"Trinitario, Criollo",Madagascar,,,,
Paul Young,"Madagascar, w/ shell",1271,2014,73%,U.K.,2.25,Trinitario,Madagascar,,,,
Paul Young,"Madagascar, w/ shell",1271,2014,64%,U.K.,2.75,Trinitario,Madagascar,,,,
Pump Street Bakery,"Akesson's, batch 4411",1530,2015,74%,U.K.,3.5,Criollo,Madagascar,,,,
Pump Street Bakery,"Akessons Estate, Sambirano, Ambanja",1223,2014,72%,U.K.,3.25,Trinitario,Madagascar,,,,
Willie's Cacao,Sambirano,593,2010,71%,U.K.,3,Trinitario,Madagascar,,,,
Amano,Madagascar,129,2007,70%,U.S.A.,3.5,Trinitario,Madagascar,,,,
Bar Au Chocolat,Sambirano,983,2012,70%,U.S.A.,3.75,Trinitario,Madagascar,,,,
Bittersweet Origins,"Sambirano, 2009",565,2010,70%,U.S.A.,3,Trinitario,Madagascar,,,,
Bittersweet Origins,Sambirano,423,2009,75%,U.S.A.,3.25,Trinitario,Madagascar,,,,
Bittersweet Origins,Sambirano,431,2009,65%,U.S.A.,3.5,Trinitario,Madagascar,,,,
Bittersweet Origins,Sambirano,233,2008,71%,U.S.A.,3,Trinitario,Madagascar,,,,
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82%,U.S.A.,3.5,Trinitario,Madagascar,,,,
Blue Bandana,Madagascar,911,2012,70%,U.S.A.,3.75,Trinitario,Madagascar,,,,
Brazen,Ambolikapiky P.,1518,2015,80%,U.S.A.,2.75, ,Madagascar,,,,
Brazen,Ambolikapkly P.,1518,2015,60%,U.S.A.,3.25, ,Madagascar,,,,
Chocola'te,Madagascar,647,2011,70%,U.S.A.,3.75,Trinitario,Madagascar,,,,
Coleman & Davis,Sambirano,1646,2015,75%,U.S.A.,3,Trinitario,Madagascar,,,,
Dandelion,Madagascar,654,2011,70%,U.S.A.,3.25,Trinitario,Madagascar,,,,
Dark Forest,Madagascar,1550,2015,70%,U.S.A.,3,Trinitario,Madagascar,,,,
Dean and Deluca (Belcolade),Madagascar,170,2007,66%,U.S.A.,2.5,Trinitario,Madagascar,,,,
Dick Taylor,Sambirano,661,2011,80%,U.S.A.,2.75,Trinitario,Madagascar,,,,
Dick Taylor,Sambirano,661,2011,72%,U.S.A.,3,Trinitario,Madagascar,,,,
Fresco,"Sambirano Valley, #216, MR, LC",915,2012,74%,U.S.A.,4,Trinitario,Madagascar,,,,
Fresco,"Sambirano Valley, #214, LR, MC",682,2011,74%,U.S.A.,2.75,Trinitario,Madagascar,,,,
Fresco,"Sambirano Valley, #215, MR, MC",688,2011,74%,U.S.A.,3,Trinitario,Madagascar,,,,
Guittard,"Sambirano, Ambanja",87,2006,65%,U.S.A.,3.5,"Criollo, +",Madagascar,,,,
hexx,Madagascar,1546,2015,74%,U.S.A.,3,Trinitario,Madagascar,,,,
Isidro,Madagascar,1275,2014,72%,U.S.A.,3.5,Trinitario,Madagascar,,,,
Just Good Chocolate,Madagascar,1375,2014,70%,U.S.A.,3.5,Trinitario,Madagascar,,,,
Kto,Sambirano Valley,1422,2014,72%,U.S.A.,3.25,Trinitario,Madagascar,,,,
Kyya,Madagascar,1363,2014,72.50%,U.S.A.,3,Trinitario,Madagascar,,,,
L.A. Burdick (Felchlin),Madagascar,431,2009,64%,U.S.A.,3.5,Trinitario,Madagascar,,,,
Mutari,"Ambanja, batch 1 SRB",1900,2016,68%,U.S.A.,2.75, ,Madagascar,,,,
Nathan Miller,Madagascar,1403,2014,73.50%,U.S.A.,2.5,Trinitario,Madagascar,,,,
Nibble,"Ambanja, Sambirano Valley",1526,2015,72%,U.S.A.,3,Trinitario,Madagascar,,,,
Nuance,"Sambirano Valley, 2012",1458,2015,70%,U.S.A.,3.5,Trinitario,Madagascar,,,,
Patric,Madagascar,331,2009,75%,U.S.A.,4,Trinitario,Madagascar,,,,
Patric,Madagascar,439,2009,67%,U.S.A.,3.5,Trinitario,Madagascar,,,,
Patric,Madagascar,196,2007,70%,U.S.A.,4,Trinitario,Madagascar,,,,
Pitch Dark,Akesson Estate,1311,2014,73%,U.S.A.,3.25,Trinitario,Madagascar,,,,
Raaka,Madagascar,959,2012,75%,U.S.A.,3.25,Trinitario,Madagascar,,,,
Ritual,Sambirano,891,2012,75%,U.S.A.,4,Trinitario,Madagascar,,,,
Rogue,"Akessons Estate, Sambirano, 2013",1038,2013,70%,U.S.A.,3.5,Trinitario,Madagascar,,,,
Rogue,"Sambirano, 2008",213,2008,70%,U.S.A.,2.75,Trinitario,Madagascar,,,,
Scharffen Berger,Amina,464,2010,65%,U.S.A.,3.75,"Trinitario, Criollo",Madagascar,,,,
Snake & Butterfly,Madagascar,502,2010,68%,U.S.A.,3,Trinitario,Madagascar,,,,
Sol Cacao,Madagascar,1518,2015,72%,U.S.A.,3,Trinitario,Madagascar,,,,
Solstice,Sambirano,1157,2013,70%,U.S.A.,3,Trinitario,Madagascar,,,,
Starchild,Sambirano Valley,1696,2015,70%,U.S.A.,3,Trinitario,Madagascar,,,,
Sublime Origins,Sambirano,1157,2013,67%,U.S.A.,2.75,Trinitario,Madagascar,,,,
TCHO,Citrus-beta,280,2008,70%,U.S.A.,2.75, ,Madagascar,,,,
Tejas,Concepcion,801,2012,70%,U.S.A.,2.75, ,Madagascar,,,,
Tejas,Capistrano*,829,2012,70%,U.S.A.,3, ,Madagascar,,,,
Terroir,Madagascar,1478,2015,70%,U.S.A.,3.75,Trinitario,Madagascar,,,,
Terroir,Madagascar,1323,2014,67%,U.S.A.,3.75,Trinitario,Madagascar,,,,
Theo,Madagascar,162,2007,65%,U.S.A.,3.5,Trinitario,Madagascar,,,,
twenty-four blackbirds,Madagascar,1235,2014,75%,U.S.A.,3.5,Trinitario,Madagascar,,,,
Upchurch,"Madagascar, Sassy Bar",1752,2016,72%,U.S.A.,3,Trinitario,Madagascar,,,,
Violet Sky,Sambirano Valley,1458,2015,77%,U.S.A.,2.75,Trinitario,Madagascar,,,,
Woodblock,Sambirano,951,2012,70%,U.S.A.,3.25,Trinitario,Madagascar,,,,
Xocolla,"Sambirano, batch 170102",1948,2017,70%,U.S.A.,2.75, ,Madagascar,,,,
Zak's,"Madagascar, Batch 2",1578,2015,70%,U.S.A.,3.25,Trinitario,Madagascar,,,,
Soma,Little Big Man,1339,2014,70%,Canada,3.25,Blend,Madagascar ,& Ecuador,,,
Choco Dong,"Tawau, Oct. 2015 Harvest",1696,2015,70%,South Korea,3.5,Trinitario,Malaysia,,,,
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73%,U.K.,3, ,Malaysia,,,,
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72%,U.K.,3.25, ,Malaysia,,,,
Chokolat Elot (Girard),Guadeloupe,1149,2013,42%,Martinique,2.75, ,Martinique,,,,
Pierre Marcolini,"Porcelana, Tabasco, Finca La Joya",445,2009,72%,Belgium,3,Criollo,Mexico,,,,
Pierre Marcolini,"Porcelana, Tabasco, Limited Ed.",81,2006,72%,Belgium,4,Criollo,Mexico,,,,
Chocolats Privilege,Xoconusco,1219,2014,70%,Canada,2.5,Criollo,Mexico,,,,
Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",682,2011,65%,Canada,3.25, ,Mexico,,,,
Choklat,"Porcelana, Tabasco",377,2009,70%,Canada,2.75,Criollo,Mexico,,,,
Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",1832,2016,75%,Canada,3.25, ,Mexico,,,,
Ara,Chiapas,1379,2014,72%,France,2.5, ,Mexico,,,,
Bonnat,Selva Maya,1912,2016,75%,France,3.5, ,Mexico,,,,
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,75%,France,3,Criollo,Mexico,,,,
Bonnat,"Xoconusco, cacao Real",395,2009,75%,France,3,Criollo,Mexico,,,,
Cacao Barry,Mexico,147,2007,66%,France,3, ,Mexico,,,,
Michel Cluizel,"Chiapas, Mokaya P.",963,2012,66%,France,3.75, ,Mexico,,,,
Coppeneur,"Porcelana, Tabasco, Mexico",220,2008,72%,Germany,3,Criollo,Mexico,,,,
Ah Cacao,Tabasco,316,2009,70%,Mexico,3,Criollo,Mexico,,,,
Ki' Xocolatl,Dark,431,2009,72%,Mexico,2, ,Mexico,,,,
Quetzalli (Wolter),"Mexico, Lot 28022016",1796,2016,70%,Mexico,2.75,Criollo,Mexico,,,,
Quetzalli (Wolter),"Uranga, Lot 22032016",1800,2016,74%,Mexico,3,Trinitario,Mexico,,,,
Cacao Sampaka,"Porcelana, Tabasco, La Joya",336,2009,70%,Spain,4,Criollo,Mexico,,,,
Cacao Sampaka,"Xoconusco, Chiapas",346,2009,70%,Spain,4,Criollo,Mexico,,,,
Chocovic,Xoconusco,478,2010,71%,Spain,3.25,Criollo,Mexico,,,,
Askinosie,Xoconusco,141,2007,75%,U.S.A.,2.5,Trinitario,Mexico,,,,
Bar Au Chocolat,Chiapas,983,2012,70%,U.S.A.,3.5, ,Mexico,,,,
Chocovivo,Tabasco,1522,2015,65%,U.S.A.,2.5,Trinitario,Mexico,,,,
Chocovivo,Tabasco,1522,2015,75%,U.S.A.,2.5,Trinitario,Mexico,,,,
Goodnow Farms,"Almendra Blanca, batch 1004",1924,2016,77%,U.S.A.,2.75, ,Mexico,,,,
Madre,"Xocunusco, Chiapas, Pichucalco",1089,2013,70%,U.S.A.,2.75, ,Mexico,,,,
Madre,"Chiapas, Triple Cacao",607,2010,72%,U.S.A.,2.75, ,Mexico,,,,
Tabal,"Chiapas, Lacandon Jungle",1105,2013,70%,U.S.A.,2.5, ,Mexico,,,,
Taza,Chiapan,451,2009,75%,U.S.A.,2.75, ,Mexico,,,,
Tejas,Espada,833,2012,70%,U.S.A.,3.25, ,Mexico,,,,
Hummingbird,Momotombo,1311,2014,70%,Canada,3,Trinitario,Nicaragua,,,,
organicfair,Nicaraqua,1165,2013,72%,Canada,2.75,Trinitario,Nicaragua,,,,
Soma,"Chuno, San Jose de Bocay, Pantasma R.,B.S.",1828,2016,70%,Canada,3.75,Trinitario,Nicaragua,,,,
Soma,"La Tronca, Matagalpa",1227,2014,70%,Canada,3.5, ,Nicaragua,,,,
Soma,La Dalia,1307,2014,70%,Canada,3.25,Trinitario,Nicaragua,,,,
Friis Holm,"Rugoso, Bad Fermentation",1912,2016,70%,Denmark,3.5, ,Nicaragua,,,,
Friis Holm (Bonnat),La Dalia,1680,2015,60%,Denmark,3, ,Nicaragua,,,,
Friis Holm (Bonnat),La Dalia,1680,2015,85%,Denmark,3.25, ,Nicaragua,,,,
Friis Holm (Bonnat),La Dalia,1259,2014,70%,Denmark,3.5, ,Nicaragua,,,,
Friis Holm (Bonnat),"Barba, Xoco",1034,2013,70%,Denmark,3.25, ,Nicaragua,,,,
Friis Holm (Bonnat),"Medagla, Xoco",1034,2013,70%,Denmark,3.5, ,Nicaragua,,,,
Friis Holm (Bonnat),"Chuno, triple turned, Xoco",895,2012,70%,Denmark,3.25,"Criollo, Trinitario",Nicaragua,,,,
Friis Holm (Bonnat),"Chuno, double turned, Xoco",899,2012,70%,Denmark,3.25,"Criollo, Trinitario",Nicaragua,,,,
Friis Holm (Bonnat),"Rugoso, Xoco",923,2012,70%,Denmark,3.75, ,Nicaragua,,,,
Friis Holm (Bonnat),"Johe, Xoco",623,2011,70%,Denmark,3.25,"Criollo, Trinitario",Nicaragua,,,,
Friis Holm (Bonnat),"Chuno, Xoco",623,2011,70%,Denmark,3.5,"Criollo, Trinitario",Nicaragua,,,,
Friis Holm (Bonnat),"Nicaliso, Xoco",623,2011,70%,Denmark,3.5,"Criollo, Trinitario",Nicaragua,,,,
Mesocacao,"La Tronca, Matagalpa",1351,2014,70%,Honduras,3.25, ,Nicaragua,,,,
Mesocacao,"La Tronca, Matagalpa",1351,2014,80%,Honduras,3.5, ,Nicaragua,,,,
Szanto Tibor,Cacao Blanco,1193,2013,70%,Hungary,3.25, ,Nicaragua,,,,
